dataset,model,heuristic,metric,baseline_mean,baseline_std,curriculum_mean,curriculum_std,improvement_pct,t_stat,p_value,cohens_d,significant
pubmed,gat,aa,heart_hits@50,0.9866425992779784,0.0017674328544734716,0.9840027075812274,0.0016440181617280803,-0.26756311745335176,-4.142043476471543,0.0025139771516762225,-1.4672841148382476,True
pubmed,gat,cn,heart_mrr,0.47518334872733947,0.0049164420208767596,0.4759726947738021,0.012689867785151871,0.16611399548757397,0.2107819728015494,0.837752494544005,0.07781769053067382,False
pubmed,gat,cn,heart_hits@10,0.8734657039711191,0.003364562351328284,0.8665613718411553,0.004664851562437043,-0.7904525728456151,-6.853036594547356,7.447952184788138e-05,-1.610526315789442,True
pubmed,gat,cn,heart_hits@50,0.9866425992779784,0.0017674328544734716,0.9837996389891697,0.0017207288777019757,-0.2881448957189942,-4.398918905893639,0.001723081231787301,-1.5462741850725346,True
pubmed,gat,ra,heart_mrr,0.47518334872733947,0.0049164420208767596,0.47693512897110796,0.012571033081198052,0.36865354151406904,0.4781072263559074,0.6439732140005179,0.17411611935970397,False
pubmed,gat,ra,heart_hits@10,0.8734657039711191,0.003364562351328284,0.8667870036101084,0.0042990994093193395,-0.764620789419287,-6.8872397389903925,7.16832562441144e-05,-1.6413515308937008,True
pubmed,gat,ra,heart_hits@50,0.9866425992779784,0.0017674328544734716,0.9839124548736462,0.0019567621656835614,-0.27671057446030395,-4.041073665047492,0.0029238771426789755,-1.3891334468571344,True
pubmed,gat,,heart_mrr,0.47518334872733947,0.0049164420208767596,0.47518334872733947,0.0049164420208767596,0.0,,,0.0,False
pubmed,gat,,heart_hits@10,0.8734657039711191,0.003364562351328284,0.8734657039711191,0.003364562351328284,0.0,,,0.0,False
pubmed,gat,,heart_hits@50,0.9866425992779784,0.0017674328544734716,0.9866425992779784,0.0017674328544734716,0.0,,,0.0,False
pubmed,gcn,aa,heart_mrr,0.5419632210863223,0.011456223849908433,0.5480112397839015,0.011054225184439208,1.1159463340439284,1.8284240907430636,0.10074738372703393,0.5096957071047462,False
pubmed,gcn,aa,heart_hits@10,0.9202391696750902,0.004844782240093838,0.9142824909747291,0.00452890793496306,-0.6472968002942351,-3.8680655518545133,0.0037999728499104575,-1.2050314686082593,True
pubmed,gcn,aa,heart_hits@50,0.9903203971119134,0.0012085525036861044,0.9882445848375452,0.0013441670585384626,-0.20961017065002233,-4.897436742815029,0.0008506499572197933,-1.5407217857439033,True
pubmed,gcn,cn,heart_mrr,0.5419632210863223,0.011456223849908433,0.5475011113411344,0.011758904778841157,1.0218203079743757,1.8714604968314945,0.09407925706080697,0.45257190592016344,False
pubmed,gcn,cn,heart_hits@10,0.9202391696750902,0.004844782240093838,0.9141922382671481,0.004549768252270656,-0.6571043275713963,-3.5950221502845565,0.005793161475050982,-1.2206643424661547,True
pubmed,gcn,cn,heart_hits@50,0.9903203971119134,0.0012085525036861044,0.9883574007220218,0.001273171117298339,-0.19821831354946642,-5.394358437058012,0.0004362142223967127,-1.500272567338726,True
pubmed,gcn,ra,heart_mrr,0.5419632210863223,0.011456223849908433,0.546930567136652,0.011742800020440074,0.9165467059504548,1.876688011248087,0.09329808076420242,0.406230775351292,False
pubmed,gcn,ra,heart_hits@10,0.9202391696750902,0.004844782240093838,0.9145081227436824,0.0047462649538076345,-0.6227779821012475,-3.5342984893599994,0.006370827891228285,-1.1336951203057668,True
pubmed,gcn,ra,heart_hits@50,0.9903203971119134,0.0012085525036861044,0.9883574007220218,0.0011732851985559263,-0.19821831354946642,-6.15012086662293,0.00016869609361307275,-1.5635471549409339,True
pubmed,gcn,,heart_mrr,0.5419632210863223,0.011456223849908433,0.5419632210863223,0.011456223849908433,0.0,,,0.0,False
pubmed,gcn,,heart_hits@10,0.9202391696750902,0.004844782240093838,0.9202391696750902,0.004844782240093838,0.0,,,0.0,False
pubmed,gcn,,heart_hits@50,0.9903203971119134,0.0012085525036861044,0.9903203971119134,0.0012085525036861044,0.0,,,0.0,False
